trial,model,cv_auc
6,XGBoost,0.5669939393939394
6,Decision tree (d3),0.5598303030303031
6,GaussianNB,0.55235
6,LightGBM,0.5490545454545455
6,Gradient boosting,0.542478787878788
6,LDA,0.5058333333333335
6,AdaBoost,0.4995181818181818
6,LinearSVC,0.49849696969696966
6,Ridge,0.49682121212121216
6,Logistic (L2),0.4865757575757576
6,kNN (k=15),0.48626818181818177
6,Extra tree,0.47723787878787877
6,SGD (log loss),0.4711363636363636
7,LinearSVC,0.5394575757575757
7,kNN (k=15),0.5248666666666667
7,GaussianNB,0.5246696969696969
7,LDA,0.5242696969696969
7,SGD (log loss),0.5106999999999999
7,Ridge,0.5105666666666667
7,Logistic (L2),0.5081242424242424
7,Extra tree,0.4905151515151515
7,AdaBoost,0.48999393939393937
7,Extra trees,0.4788969696969696
7,Decision tree (d3),0.4747727272727273
7,Gradient boosting,0.4581060606060607
7,LightGBM,0.4570242424242424
7,XGBoost,0.44704848484848486
7,Random forest,0.4468757575757575
8,Random forest,0.6143757575757576
8,AdaBoost,0.563330303030303
8,XGBoost,0.5631181818181819
8,LightGBM,0.5621606060606061
8,Extra trees,0.560839393939394
8,kNN (k=15),0.5592121212121212
8,GaussianNB,0.5511454545454546
8,Decision tree (d3),0.5413848484848487
8,Logistic (L2),0.5411939393939393
8,Gradient boosting,0.5368333333333334
8,Ridge,0.5249090909090908
8,SGD (log loss),0.5152727272727272
8,LinearSVC,0.5146363636363636
8,LDA,0.5080333333333333
8,Extra tree,0.4291969696969697
9,LDA,0.6227939393939395
9,Ridge,0.6047969696969697
9,LinearSVC,0.5576424242424243
9,SGD (log loss),0.5512121212121213
9,Logistic (L2),0.5378060606060606
9,XGBoost,0.5358878787878788
9,Decision tree (d3),0.5187151515151515
9,LightGBM,0.5094666666666667
9,AdaBoost,0.5062939393939395
9,Gradient boosting,0.5035939393939393
9,Extra tree,0.5009515151515151
9,kNN (k=15),0.4963878787878788
9,GaussianNB,0.45544393939393935
9,Random forest,0.4429939393939394
9,Extra trees,0.3655424242424242
10,LightGBM,0.5798242424242426
10,XGBoost,0.5773515151515152
10,AdaBoost,0.5621530303030304
10,Decision tree (d3),0.5488318181818181
10,Gradient boosting,0.5209727272727273
10,Extra tree,0.5030984848484847
10,Random forest,0.5016242424242424
10,LinearSVC,0.43603333333333333
10,kNN (k=15),0.4293015151515151
10,SGD (log loss),0.41907575757575766
10,LDA,0.4135454545454545
10,GaussianNB,0.40830151515151514
10,Ridge,0.3977666666666667
10,Logistic (L2),0.39564242424242424
10,Extra trees,0.3734272727272728
11,kNN (k=15),0.6235348484848484
11,GaussianNB,0.6198166666666667
11,LightGBM,0.6107090909090909
11,Random forest,0.605560606060606
11,Logistic (L2),0.5983333333333334
11,Extra trees,0.5942878787878788
11,LinearSVC,0.5820454545454545
11,Ridge,0.5728878787878788
11,SGD (log loss),0.5678818181818182
11,Extra tree,0.5567727272727273
11,XGBoost,0.5563484848484848
11,LDA,0.5452303030303031
11,AdaBoost,0.5412530303030303
11,Gradient boosting,0.5239090909090909
11,Decision tree (d3),0.4782575757575757
12,XGBoost,0.6019454545454546
12,AdaBoost,0.596171212121212
12,Decision tree (d3),0.5939787878787879
12,Random forest,0.5628969696969698
12,Gradient boosting,0.5442424242424244
12,Extra trees,0.5239333333333335
12,GaussianNB,0.5233060606060607
12,Logistic (L2),0.5172454545454546
12,LDA,0.514569696969697
12,LightGBM,0.5138818181818182
12,Ridge,0.5137272727272727
12,LinearSVC,0.4982787878787878
12,SGD (log loss),0.49069090909090907
12,kNN (k=15),0.47432727272727265
12,Extra tree,0.43953181818181813
13,Logistic (L2),0.6243333333333333
13,LinearSVC,0.597512121212121
13,Ridge,0.5943090909090909
13,SGD (log loss),0.5921575757575758
13,XGBoost,0.5846666666666667
13,AdaBoost,0.575089393939394
13,LDA,0.5744606060606061
13,Random forest,0.5710818181818181
13,Gradient boosting,0.5697121212121212
13,kNN (k=15),0.5616787878787879
13,GaussianNB,0.5607924242424243
13,LightGBM,0.551630303030303
13,Extra trees,0.5187606060606061
13,Decision tree (d3),0.49347121212121214
13,Extra tree,0.4556545454545454
14,GaussianNB,0.548169696969697
14,Extra tree,0.5474030303030302
14,Extra trees,0.5297242424242424
14,Gradient boosting,0.5296333333333332
14,Logistic (L2),0.5268060606060605
14,SGD (log loss),0.5222151515151515
14,Decision tree (d3),0.5136924242424242
14,LDA,0.5048121212121213
14,LinearSVC,0.49965757575757574
14,Ridge,0.49816969696969693
14,kNN (k=15),0.48539545454545446
14,AdaBoost,0.47197424242424235
14,XGBoost,0.4423727272727273
14,LightGBM,0.43364545454545456
14,Random forest,0.41300909090909094
15,SGD (log loss),0.5749878787878788
15,Logistic (L2),0.5687363636363637
15,LinearSVC,0.5642454545454546
15,Ridge,0.562169696969697
15,GaussianNB,0.5515878787878788
15,Random forest,0.5471787878787879
15,LDA,0.5425636363636364
15,Extra trees,0.5309484848484848
15,Decision tree (d3),0.5154636363636362
